id,category,name
741,solitaire,Royal Turnoff
1529,solitaire,Rubik's 4x4x4 Cube
1565,solitaire,Rubik's 5x5x5 Cube
339,solitaire,Rubik's Cube
7,solitaire,Rule 110
1125,solitaire,Rungs
762,checkmate,R-Chess
3024,checkmate,Racing Chess
763,checkmate,Rack and Runes
2554,checkmate,Ragnarok
2689,checkmate,RainLeaking Shogi
2098,checkmate,RAJ Chess
764,checkmate,Rajah
1401,checkmate,Random Drop Chess
1609,checkmate,Raptor Chess
708,checkmate,Raumschach
2838,checkmate,Razor Chess
765,checkmate,Recognized Variants of the Month
767,checkmate,Reduced Endgame Chess
1478,checkmate,Reformed Chess
1716,checkmate,Regiment Chess
1717,checkmate,Regroupment Chess
768,checkmate,Relativistic Chess
1704,checkmate,Relocation Chess
3083,checkmate,Relocation Chess Variants
2852,checkmate,Remain Promotion Shogi
2564,checkmate,REN Shogi
769,checkmate,Renaissance Chess
2755,checkmate,ReplacementKing Shogi
1898,checkmate,Reserve Chess
2412,checkmate,Resurrection Chess
1326,checkmate,Retiar Chess
2991,checkmate,Reusable Chess
2958,checkmate,Reusable Chu Shogi
2960,checkmate,Reusable Chu Shogi Variant
2959,checkmate,Reusable Dai Shogi
2961,checkmate,Reusable Dai Shogi Variant
2768,checkmate,Reusable Heian Shogi
3001,checkmate,Reusable Janggi
2988,checkmate,Reusable Makruk
2989,checkmate,Reusable Makruk Variant
2882,checkmate,Reusable Sho Shogi
2886,checkmate,Reusable Sho Shogi Variant
2947,checkmate,Reusable Wa Shogi 11x11
3000,checkmate,Reusable Xiangqi
2700,checkmate,Reverse Promotion Shogi
2845,checkmate,Reversi Shogi (Type A)
2846,checkmate,Reversi Shogi (Type B)
2848,checkmate,Reversi Shogi (Type C)
2756,checkmate,ReversiblePromotion Shogi
1727,checkmate,Revised Chess
1965,checkmate,r�volution Chess
1572,checkmate,Rhino Chess
1552,checkmate,RhinOs Chess
3039,checkmate,Rifle Chess
2678,checkmate,Rifle Shogi
771,checkmate,Rigellan Sii-od
773,checkmate,Rococo
774,checkmate,Rollerball Chess
2763,checkmate,Rook Shogi & Bishop Shogi
2757,checkmate,Rook vs. Bishop Shogi
775,checkmate,Rooksquare Chess
776,checkmate,Rotary
1867,checkmate,Rotorblades Chess
1875,checkmate,Rotorblades Fusion Chess
1815,checkmate,Round Honeycomb Chess
1814,checkmate,Round Table Chess 96
1282,checkmate,Royal CannonChess
1045,checkmate,Royal Fury
1263,checkmate,Royal Pawn Chess
3027,checkmate,Royal Queen Chess
777,checkmate,Rubik Chess
778,checkmate,Ruddigore Chess
991,checkmate,Rutherford's 1-dimensional Shogi
723,other,Rabbit for Two
984,other,Random Links
725,other,Rantron
1127,other,Razzledazzle
726,other,Reactor
724,other,Redcappies and the Wolves
3069,other,Reformed International Draughts
1986,other,Retsami
770,other,Revenge of Rubik Chess
727,other,Reversi 3D
728,other,Reversi Board Variations
729,other,Reversi II
2501,other,Rhode
730,other,Ring Board Checkers
1494,other,Ring Realms
731,other,Ringo
1672,other,Rinne & Tensei
732,other,River Chess
772,other,Robber Chess
3117,other,Robble
2954,other,Rocco
733,other,Rock around a Century
663,other,Rock around the Sun
734,other,Roll 4
735,other,Roll 4 X
736,other,Roll-Ing to Four
1610,other,Rollthello
1040,other,Rome
2029,other,Rooks [StaleMate] Chess
739,other,Rotaryh
737,other,Roulette for Two
1906,other,Royal Chess
1912,other,Royal D�mA
1779,other,Royal Game of Ur
740,other,Royal-Tac-Toe
2221,other,Rrizzit
2547,other,Rumbo
1759,other,Rush
679,other,Russian Checkers
781,solitaire,Sailing
782,solitaire,Sailing II
783,solitaire,Sailing III
823,solitaire,Saltwater
1718,solitaire,Scale
2012,solitaire,Scrabble Demonstration Board
2019,solitaire,Scrabl Puzzles
1534,solitaire,Scrabwalk Solo
1726,solitaire,Secret Keys
1444,solitaire,Select CRC Analysis Tool
824,solitaire,Semblo
1939,solitaire,Semblo Easy
825,solitaire,Serviettes
69,solitaire,Setris
72,solitaire,Setris 4
70,solitaire,Setris II
71,solitaire,Setris III
826,solitaire,Sheepdog
1075,solitaire,Shortcut
1970,solitaire,Shuff
1178,solitaire,Sieve
2244,solitaire,Simpler Pillow Cube
827,solitaire,Sisyphus
1213,solitaire,Skewers
1026,solitaire,Slide-in
